Province,Residential_2021,Industrial_2021,Business_2021,Social_2021,Gov_Office_2021,Pub_Street_2021,Total_2021,Residential_2022,Industrial_2022,Business_2022,Social_2022,Gov_Office_2022,Pub_Street_2022,Total_2022,Residential,Industrial,Business,Social,Gov_Office,Pub_Street,Total,JP_2021,JP_2022,JP_2023,KP_2021,KP_2022,KP_2023
Nusa Tenggara Barat,1510.06,178.58,401.48,95.68,48.17,56.22,2290.19,1495.97,200.45,446.78,110.13,50.5,55.48,2359.31,1608.71,238.93,492.64,125.64,51.72,54.96,2572.6,5320.1,5387.2,5474.0,690.26,736.88,795.91
Nusa Tenggara Timur,749.03,41.19,238.66,65.08,48.3,17.9,1160.16,759.36,28.31,270.56,78.15,52.75,17.77,1206.91,808.83,43.19,316.24,92.72,54.13,18.15,1333.25,5325.6,5394.4,5481.8,505.02,498.8,510.49
Jawa Timur,15618.65,16469.27,5014.11,1326.27,421.15,607.74,39457.19,15462.12,17032.15,5454.49,1541.15,455.27,601.69,40546.88,16004.06,17166.79,5932.68,1716.78,475.59,590.4,41886.3,40665.7,40921.1,41230.0,10063.77,9980.61,9881.79
Jawa Tengah,12986.94,8332.48,3512.97,1055.15,284.09,489.53,26661.16,12961.71,8778.3,3789.54,1239.73,304.65,490.7,27564.64,13620.27,8408.15,4170.67,1418.82,324.66,489.18,28431.75,36516.0,36811.1,37180.4,8764.04,13543.39,12121.3
DI Yogyakarta,1769.19,265.47,699.88,245.69,67.38,60.77,3108.38,1813.22,277.27,809.96,287.71,75.74,62.7,3326.61,1927.97,269.05,894.24,327.69,80.48,64.81,3564.23,3668.7,3687.8,3712.6,0.78,0.78,0.78
Jawa Barat,20925.89,24077.6,6277.79,1214.62,449.98,372.14,53318.02,20871.52,25419.11,7610.34,1422.88,503.81,398.45,56226.11,21854.79,25026.44,9013.71,1679.84,560.75,428.79,58564.31,48274.2,48738.8,49306.8,9079.0,11023.5,10515.9
Banten,6014.22,14233.05,3009.44,331.65,159.66,82.89,23830.91,6049.89,16605.16,3407.59,395.19,163.58,84.26,26705.67,6475.33,15814.03,3964.6,463.42,167.91,86.12,26971.4,11904.6,12023.0,12167.0,8932.98,8932.98,8933.22
DKI Jakarta,14724.52,4184.3,10994.55,1286.81,1318.71,200.41,32709.3,14824.0,4140.34,12539.23,1482.92,1396.61,195.2,34578.29,15644.75,3997.21,14001.63,1658.84,1482.22,207.71,36992.35,10562.1,10605.4,10640.0,5126.27,5119.77,5119.77
Kalimantan Timur,1210.51,229.43,509.655,90.125,84.735,26.515,2150.97,1243.055,227.28,545.995,106.175,90.46,26.69,2239.65,1361.845,308.18,616.545,122.48,98.305,26.1,2533.46,3766.0,3803.5,3856.8,1505.18,1478.97,1503.18
Kalimantan Utara,1210.51,229.43,509.655,90.125,84.735,26.515,2150.97,1243.055,227.28,545.995,106.175,90.46,26.69,2239.65,1361.845,308.18,616.545,122.48,98.305,26.1,2533.46,701.8,710.0,720.1,249.43,253.6,252.8
